Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,RClose
2009-11-20 00:00:00+08:00,14.470000,14.480000,14.430000,14.470000,12200,0.000000,0.000000,0.000000,14.470000
2009-11-24 00:00:00+08:00,14.900000,14.900000,14.880000,14.880000,800,0.000000,0.000000,0.000000,14.880000
2009-11-26 00:00:00+08:00,15.020000,15.030000,14.820000,14.840000,5580,0.000000,0.000000,0.000000,14.840000
2009-11-30 00:00:00+08:00,14.570000,14.820000,14.550000,14.820000,31820,0.000000,0.000000,0.000000,14.820000
2009-12-02 00:00:00+08:00,15.160000,15.160000,15.080000,15.100000,15300,0.000000,0.000000,0.000000,15.100000
2009-12-03 00:00:00+08:00,15.100000,15.100000,15.100000,15.100000,800,0.000000,0.000000,0.000000,15.100000
2009-12-04 00:00:00+08:00,15.010000,15.110000,15.010000,15.110000,1400,0.000000,0.000000,0.000000,15.110000
2009-12-07 00:00:00+08:00,15.080000,15.130000,14.940000,14.950000,97380,0.000000,0.000000,0.000000,14.950000
2009-12-09 00:00:00+08:00,14.940000,14.940000,14.940000,14.940000,2000,0.000000,0.000000,0.000000,14.940000
2009-12-14 00:00:00+08:00,14.950000,14.950000,14.950000,14.950000,2000,0.000000,0.000000,0.000000,14.950000
2009-12-16 00:00:00+08:00,14.730000,14.730000,14.730000,14.730000,2000,0.000000,0.000000,0.000000,14.730000
2009-12-17 00:00:00+08:00,15.460000,15.460000,14.590000,14.600000,57400,0.000000,0.000000,0.000000,14.600000
2009-12-21 00:00:00+08:00,14.400000,14.420000,14.400000,14.410000,800,0.000000,0.000000,0.000000,14.410000
2009-12-29 00:00:00+08:00,15.220000,15.220000,15.120000,15.160000,4330,0.000000,0.000000,0.000000,15.160000
2009-12-30 00:00:00+08:00,15.100000,15.180000,15.100000,15.100000,7460,0.000000,0.000000,0.000000,15.100000
2010-01-05 00:00:00+08:00,15.470000,15.600000,15.440000,15.440000,12600,0.000000,0.000000,0.000000,15.440000
2010-01-06 00:00:00+08:00,15.640000,15.640000,15.570000,15.570000,1710,0.000000,0.000000,0.000000,15.570000
2010-01-07 00:00:00+08:00,15.800000,15.800000,15.690000,15.720000,3600,0.000000,0.000000,0.000000,15.720000
2010-01-11 00:00:00+08:00,15.800000,15.800000,15.800000,15.800000,800,0.000000,0.000000,0.000000,15.800000
2010-01-12 00:00:00+08:00,15.810000,15.810000,15.760000,15.760000,25040,0.000000,0.000000,0.000000,15.760000
2010-01-14 00:00:00+08:00,15.740000,15.820000,15.740000,15.820000,330,0.000000,0.000000,0.000000,15.820000
2010-01-15 00:00:00+08:00,15.880000,15.920000,15.880000,15.910000,14480,0.000000,0.000000,0.000000,15.910000
2010-01-18 00:00:00+08:00,15.700000,15.720000,15.660000,15.660000,10860,0.000000,0.000000,0.000000,15.660000
2010-01-20 00:00:00+08:00,15.510000,15.510000,15.510000,15.510000,5000,0.000000,0.000000,0.000000,15.510000
2010-01-22 00:00:00+08:00,15.030000,15.030000,15.000000,15.000000,6720,0.000000,0.000000,0.000000,15.000000
2010-01-26 00:00:00+08:00,14.720000,14.750000,14.670000,14.670000,42300,0.000000,0.000000,0.000000,14.670000
