year,ocbc,dbs,uob
2023,6.15,5.63,5.62
2022,4.60,4.25,3.91
2021,3.59,3.12,3.68
2020,4.30,5.35,3.47
2019,4.37,5.80,2.84
2018,3.46,4.64,2.85
2017,2.91,2.54,2.65
2016,4.04,3.46,3.43
2015,4.09,3.59,3.06
2014,3.25,2.82,1.02
2013,3.33,3.27,1.41
2012,3.19,3.77,3.03
2011,3.83,4.86,1.96
2010,2.90,1.96,3.30
2009,3.08,3.66,3.05
2008,5.61,9.50,5.03
2007,3.14,3.14,1.26
2006,2.99,3.01,3.09
2005,11.84,1.85,3.05
2004,2.30,2.11,4.35
2003,6.18,2.04,1.52
2002,0.52,2.73,3.39
2001,1.36,2.10,3.15
2000,1.63,1.53,3.08
